identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:gsea_pathway_enrichment::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,gsea_pathway_enrichment::output::quality_control_report,quality_control_report,gsea_pathway_enrichment,quality_control_report,File,,,,,,,
io_slot:gsea_pathway_enrichment::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,gsea_pathway_enrichment::output::tabular_bio_data,tabular_bio_data,gsea_pathway_enrichment,analysis_summary,File,,,,,,,
io_slot:gsea_pathway_enrichment::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,gsea_pathway_enrichment::output::visualization_result,visualization_result,gsea_pathway_enrichment,analysis_figure,File,,,,,,,
io_slot:her2_pfs_survival::in::clinical,io_slot,,Clinical table containing PFS fields,input,,true,her2_pfs_survival::in::clinical,clinical_survival,her2_pfs_survival,,File,,,,,clinical_xls,her2_pfs_survival.clinical_xls,
io_slot:her2_pfs_survival::in::metainfo,io_slot,,Sample and Run accession mapping,input,,true,her2_pfs_survival::in::metainfo,sample_metainfo,her2_pfs_survival,,File,,,,,metainfo_xlsx,her2_pfs_survival.metainfo_xlsx,
io_slot:her2_pfs_survival::in::expression,io_slot,,TPM matrix with Run accessions as sample columns,input,,true,her2_pfs_survival::in::expression,tpm_matrix,her2_pfs_survival,,File,,,,,tpm_matrix,her2_pfs_survival.tpm_matrix,
io_slot:her2_pfs_survival::out::figures,io_slot,,Kaplan-Meier figures,output,,false,her2_pfs_survival::out::figures,km_figures,her2_pfs_survival,,File,,,,,,,
io_slot:her2_pfs_survival::out::statistics,io_slot,,Log-rank and analysis tables,output,,false,her2_pfs_survival::out::statistics,pfs_statistics,her2_pfs_survival,,File,,,,,,,
io_slot:her2_pfs_survival::out::summary,io_slot,,Analysis and QC summary,output,,false,her2_pfs_survival::out::summary,summary,her2_pfs_survival,,File,,,,,,,
io_slot:hvg_pca_gmm::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,hvg_pca_gmm::output::quality_control_report,quality_control_report,hvg_pca_gmm,quality_control_report,File,,,,,,,
io_slot:hvg_pca_gmm::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,hvg_pca_gmm::output::tabular_bio_data,tabular_bio_data,hvg_pca_gmm,analysis_summary,File,,,,,,,
io_slot:hvg_pca_gmm::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,hvg_pca_gmm::output::visualization_result,visualization_result,hvg_pca_gmm,analysis_figure,File,,,,,,,
io_slot:immune_infiltration_iobr::in::clinical,io_slot,,Clinical annotation table,input,,true,immune_infiltration_iobr::in::clinical,clinical_table,immune_infiltration_iobr,,File,,,,,clinical_xls,ImmuneInfiltrationIOBRCIBERSORT.clinical_xls,
io_slot:immune_infiltration_iobr::in::metainfo,io_slot,,Sample and Run accession mapping,input,,true,immune_infiltration_iobr::in::metainfo,sample_metainfo,immune_infiltration_iobr,,File,,,,,metainfo_xlsx,ImmuneInfiltrationIOBRCIBERSORT.metainfo_xlsx,
io_slot:immune_infiltration_iobr::in::expression,io_slot,,TPM matrix used by IOBR CIBERSORT,input,,true,immune_infiltration_iobr::in::expression,tpm_matrix,immune_infiltration_iobr,,File,,,,,expression_tsv,ImmuneInfiltrationIOBRCIBERSORT.expression_tsv,
io_slot:immune_infiltration_iobr::out::figures,io_slot,,Stacked bar box heatmap and correlation figures,output,,false,immune_infiltration_iobr::out::figures,figures,immune_infiltration_iobr,,File,,,,,,,
